,0
percent_white,-45.724469017560644
percent_black,-2.9284907902083495
percent_asian,11.17689496133368
percent_hispanic,19.242846421688693
percent_native_am,-3.279765813696212
percent_other_race,4.381210341984779
percent_0_17,-33.00601793704277
percent_18_39,6.908360873597642
percent_40_64,2.088570095991516
percent_65+,24.01795728276955
percent_rental_units_vacant,-7.775834662519575
percent_rental_units_occupied,7.7847006648155075
percent_graduate_deg,27.165005742084244
percent_bachelors,-2.914778932677093
percent_associates,19.886674474687023
percent_highschool,-25.627170240633223
percent_less_highschool,-24.10640482799551
percent_commute_public_transport,8.847068827879017
percent_commute_less_30,23.47811908129884
percent_buildings_less_10_units,-39.564831957335244
percent_buildings_10_19_units,11.921473460115767
percent_buildings_20_49_units,-0.5813180041246901
percent_buildings_50+_units,28.23354362877335
percent_commute_30_to_59,-22.3194707079918
percent_commute_60_to_89,-2.830911329494396
percent_commute_90_more,3.6028650247282936
percent_new_city,6.454114476217718
percent_new_unit,11.707251912722588
percent_units_owner_occupied,-74.18147732496433
median_building_age,26.51701384764908
income_per_capita,-0.004177641056926035
poverty_rate,114.88607344296885
total_pop,0.03466194951933095
percent_workforce_unemployed,112.5075768613718
percent_work_from_home,10.809074894006951
median_age,15.907619269289903
percent_female,18.119868871284268
gini_index,19.072053480074505
percent_not_us_citizen,-30.857421546066043
bs_total_stations,-0.21563971228914333
bs_total_systems,-0.9803164236991541
has_bike_sharing,-0.6278367970499024
ar.L1,0.493197392835335
sigma2,155.7462547186139
