,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_x,zri_y
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1107.3720265381592,1099.0
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1108.0857444146593,1098.0
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1110.4664059591944,1106.0
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1114.4877541802712,1114.0
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1117.3438642306382,1116.0
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1119.8807885433491,1128.0
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1122.9156018965089,1138.0
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1124.1467604677223,1148.0
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1124.4880484720393,1155.0
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1125.546471935343,1175.0
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1127.275946952207,1161.0
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1128.3804816239897,1155.0
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1130.8253308917979,1115.0
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1134.9557498569327,1119.0
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1138.6529139630688,1131.0000000000002
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1143.0112444780575,1136.0
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1145.4187735976266,1137.0
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1147.6475593324565,1151.0
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1149.4334115438228,1167.0
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1150.3840087919123,1179.0
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1151.0170827873942,1188.0
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1151.8903642929774,1213.0
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1153.0956011302155,1209.0
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1154.451491032891,1205.0
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1097.971042346235,1112.0
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1096.21972727808,1125.0
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1096.4829761204815,1129.0
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1098.4993349633285,1127.0
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1100.228626215659,1123.0
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1102.8212990470236,1131.0
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1105.2568789468453,1137.0
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1108.4578622935237,1145.0
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1110.5469374257295,1149.0
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1112.5565047794487,1164.0
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1113.673859346278,1136.0
215,1040,2019,12,2019-12-01,Holyoke,MA,Springfield,Hampden County,2019-12,1113.9844789137198,1123.0
276,1085,2019,1,2019-01-01,Westfield,MA,Springfield,Hampden County,2019-01,1159.5820781399857,1172.0
277,1085,2019,2,2019-02-01,Westfield,MA,Springfield,Hampden County,2019-02,1161.1063921016432,1179.0
278,1085,2019,3,2019-03-01,Westfield,MA,Springfield,Hampden County,2019-03,1163.9762303965074,1186.0
279,1085,2019,4,2019-04-01,Westfield,MA,Springfield,Hampden County,2019-04,1167.1530788630675,1185.0
280,1085,2019,5,2019-05-01,Westfield,MA,Springfield,Hampden County,2019-05,1169.0204340476837,1192.0
281,1085,2019,6,2019-06-01,Westfield,MA,Springfield,Hampden County,2019-06,1170.191101211524,1199.0
282,1085,2019,7,2019-07-01,Westfield,MA,Springfield,Hampden County,2019-07,1170.108933715637,1202.0
283,1085,2019,8,2019-08-01,Westfield,MA,Springfield,Hampden County,2019-08,1169.2787119319055,1201.0
284,1085,2019,9,2019-09-01,Westfield,MA,Springfield,Hampden County,2019-09,1168.599551436348,1201.0
285,1085,2019,10,2019-10-01,Westfield,MA,Springfield,Hampden County,2019-10,1168.8802295392031,1192.0
286,1085,2019,11,2019-11-01,Westfield,MA,Springfield,Hampden County,2019-11,1169.314560605516,1191.5
287,1085,2019,12,2019-12-01,Westfield,MA,Springfield,Hampden County,2019-12,1169.9217605257402,1191.0
348,1104,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1115.14313691577,1113.0
349,1104,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1115.7127399502397,1116.0
350,1104,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1118.9514113785947,1125.0
351,1104,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1123.0130685395118,1129.0
352,1104,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1126.6822351819958,1130.0
353,1104,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1129.9485246982924,1135.0
354,1104,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1132.0888754581051,1141.0
355,1104,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1134.1325019381775,1145.0
356,1104,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1135.0109442574944,1154.0
357,1104,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1135.6313924301915,1178.0
358,1104,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1135.8264142690116,1188.0
359,1104,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1136.0222440714413,1193.0
420,1108,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1187.1480220920992,1198.0
421,1108,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1190.7079151867467,1206.0
422,1108,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1192.9280673638636,1205.0
423,1108,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1196.3139362167665,1200.0
424,1108,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1198.7158018367365,1191.0
425,1108,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1200.332080233215,1189.0
426,1108,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1200.6620745974715,1189.0
427,1108,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1200.6731895308276,1193.0
428,1108,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1200.4953899848786,1204.0
429,1108,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1200.4954221728747,1240.0
430,1108,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1200.7487699423295,1240.0
431,1108,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1201.2122206854676,1240.0
492,1109,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1163.678552677424,1189.0
493,1109,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1168.725771287199,1200.0
494,1109,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1174.1451968194574,1199.0
495,1109,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1177.442879074664,1193.0
496,1109,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1177.3307149948992,1185.0
497,1109,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1176.406489804922,1183.0
498,1109,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1174.5135652400302,1184.0000000000002
499,1109,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1174.6643849930135,1187.0
500,1109,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1177.17449567924,1199.0
501,1109,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1180.3092248581422,1203.5
502,1109,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1184.3426886052898,1208.0
503,1109,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1186.7185682776653,1237.0
564,1420,2019,1,2019-01-01,Fitchburg,MA,Worcester,Worcester County,2019-01,1234.3506518311092,1252.0
565,1420,2019,2,2019-02-01,Fitchburg,MA,Worcester,Worcester County,2019-02,1239.2565141672594,1276.0
566,1420,2019,3,2019-03-01,Fitchburg,MA,Worcester,Worcester County,2019-03,1242.9786325416528,1297.0
567,1420,2019,4,2019-04-01,Fitchburg,MA,Worcester,Worcester County,2019-04,1245.9267344476402,1310.0
568,1420,2019,5,2019-05-01,Fitchburg,MA,Worcester,Worcester County,2019-05,1249.0361889309781,1313.0
569,1420,2019,6,2019-06-01,Fitchburg,MA,Worcester,Worcester County,2019-06,1252.158654379087,1317.0
570,1420,2019,7,2019-07-01,Fitchburg,MA,Worcester,Worcester County,2019-07,1253.7451168936796,1321.0
571,1420,2019,8,2019-08-01,Fitchburg,MA,Worcester,Worcester County,2019-08,1254.66454031144,1326.0
572,1420,2019,9,2019-09-01,Fitchburg,MA,Worcester,Worcester County,2019-09,1255.417603142531,1326.0
573,1420,2019,10,2019-10-01,Fitchburg,MA,Worcester,Worcester County,2019-10,1256.2967737393571,1315.9999999999998
574,1420,2019,11,2019-11-01,Fitchburg,MA,Worcester,Worcester County,2019-11,1257.132747331028,1290.0
575,1420,2019,12,2019-12-01,Fitchburg,MA,Worcester,Worcester County,2019-12,1259.2178243147903,1264.0
636,1440,2019,1,2019-01-01,Gardner,MA,Worcester,Worcester County,2019-01,1198.5724900579905,1215.0
637,1440,2019,2,2019-02-01,Gardner,MA,Worcester,Worcester County,2019-02,1199.6450044640899,1239.0
638,1440,2019,3,2019-03-01,Gardner,MA,Worcester,Worcester County,2019-03,1199.0397059410677,1244.0
639,1440,2019,4,2019-04-01,Gardner,MA,Worcester,Worcester County,2019-04,1198.9029098052322,1237.0
640,1440,2019,5,2019-05-01,Gardner,MA,Worcester,Worcester County,2019-05,1200.2637173605124,1233.0
641,1440,2019,6,2019-06-01,Gardner,MA,Worcester,Worcester County,2019-06,1201.3867977488574,1233.0
642,1440,2019,7,2019-07-01,Gardner,MA,Worcester,Worcester County,2019-07,1204.5183710327235,1239.0
643,1440,2019,8,2019-08-01,Gardner,MA,Worcester,Worcester County,2019-08,1207.4930238356544,1241.0
644,1440,2019,9,2019-09-01,Gardner,MA,Worcester,Worcester County,2019-09,1209.2991213723012,1240.0
645,1440,2019,10,2019-10-01,Gardner,MA,Worcester,Worcester County,2019-10,1209.496932869862,1216.0
646,1440,2019,11,2019-11-01,Gardner,MA,Worcester,Worcester County,2019-11,1209.2476159170544,1212.0
647,1440,2019,12,2019-12-01,Gardner,MA,Worcester,Worcester County,2019-12,1208.819054592049,1216.0
708,1453,2019,1,2019-01-01,Leominster,MA,Worcester,Worcester County,2019-01,1337.7830525857278,1319.0
709,1453,2019,2,2019-02-01,Leominster,MA,Worcester,Worcester County,2019-02,1335.7007819057578,1315.0
710,1453,2019,3,2019-03-01,Leominster,MA,Worcester,Worcester County,2019-03,1333.6473829714298,1308.0
711,1453,2019,4,2019-04-01,Leominster,MA,Worcester,Worcester County,2019-04,1329.0144232148994,1307.0
712,1453,2019,5,2019-05-01,Leominster,MA,Worcester,Worcester County,2019-05,1324.4216043560914,1314.0
713,1453,2019,6,2019-06-01,Leominster,MA,Worcester,Worcester County,2019-06,1319.6546652561149,1325.0
714,1453,2019,7,2019-07-01,Leominster,MA,Worcester,Worcester County,2019-07,1317.0628790492888,1331.0
715,1453,2019,8,2019-08-01,Leominster,MA,Worcester,Worcester County,2019-08,1314.1510643219965,1339.0000000000002
716,1453,2019,9,2019-09-01,Leominster,MA,Worcester,Worcester County,2019-09,1310.7370038924987,1342.0
717,1453,2019,10,2019-10-01,Leominster,MA,Worcester,Worcester County,2019-10,1307.6897300811097,1331.0
718,1453,2019,11,2019-11-01,Leominster,MA,Worcester,Worcester County,2019-11,1305.1155559198974,1325.0
719,1453,2019,12,2019-12-01,Leominster,MA,Worcester,Worcester County,2019-12,1302.3442072355613,1322.0
780,1545,2019,1,2019-01-01,Shrewsbury,MA,Worcester,Worcester County,2019-01,1528.496644604022,1500.9999999999998
781,1545,2019,2,2019-02-01,Shrewsbury,MA,Worcester,Worcester County,2019-02,1533.216196750217,1526.0
782,1545,2019,3,2019-03-01,Shrewsbury,MA,Worcester,Worcester County,2019-03,1535.5960740660978,1565.0
783,1545,2019,4,2019-04-01,Shrewsbury,MA,Worcester,Worcester County,2019-04,1539.7632705640244,1605.0000000000002
784,1545,2019,5,2019-05-01,Shrewsbury,MA,Worcester,Worcester County,2019-05,1542.955937287077,1619.9999999999998
785,1545,2019,6,2019-06-01,Shrewsbury,MA,Worcester,Worcester County,2019-06,1546.5361543252413,1627.0
786,1545,2019,7,2019-07-01,Shrewsbury,MA,Worcester,Worcester County,2019-07,1548.7411243612626,1622.0
787,1545,2019,8,2019-08-01,Shrewsbury,MA,Worcester,Worcester County,2019-08,1550.1131539352132,1611.0
788,1545,2019,9,2019-09-01,Shrewsbury,MA,Worcester,Worcester County,2019-09,1551.1153266928409,1600.0000000000002
789,1545,2019,10,2019-10-01,Shrewsbury,MA,Worcester,Worcester County,2019-10,1552.2534939352809,1567.0
790,1545,2019,11,2019-11-01,Shrewsbury,MA,Worcester,Worcester County,2019-11,1553.1901823822109,1552.0
791,1545,2019,12,2019-12-01,Shrewsbury,MA,Worcester,Worcester County,2019-12,1554.772431827168,1546.0
852,1550,2019,1,2019-01-01,Southbridge,MA,Worcester,Worcester County,2019-01,1251.6637692252664,1233.0
853,1550,2019,2,2019-02-01,Southbridge,MA,Worcester,Worcester County,2019-02,1254.981161546814,1246.0
854,1550,2019,3,2019-03-01,Southbridge,MA,Worcester,Worcester County,2019-03,1255.3911913094528,1252.0
855,1550,2019,4,2019-04-01,Southbridge,MA,Worcester,Worcester County,2019-04,1253.942644263154,1243.0
856,1550,2019,5,2019-05-01,Southbridge,MA,Worcester,Worcester County,2019-05,1250.6510241368708,1230.0
857,1550,2019,6,2019-06-01,Southbridge,MA,Worcester,Worcester County,2019-06,1247.7801933466394,1219.0
858,1550,2019,7,2019-07-01,Southbridge,MA,Worcester,Worcester County,2019-07,1243.2685011303151,1216.0
859,1550,2019,8,2019-08-01,Southbridge,MA,Worcester,Worcester County,2019-08,1236.6905988698538,1220.0
860,1550,2019,9,2019-09-01,Southbridge,MA,Worcester,Worcester County,2019-09,1231.7610460260212,1227.0
861,1550,2019,10,2019-10-01,Southbridge,MA,Worcester,Worcester County,2019-10,1227.8757486928318,1233.0
862,1550,2019,11,2019-11-01,Southbridge,MA,Worcester,Worcester County,2019-11,1224.8480891790393,1239.0
863,1550,2019,12,2019-12-01,Southbridge,MA,Worcester,Worcester County,2019-12,1223.0080699825223,1262.0
924,1602,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1406.873904001003,1390.0
925,1602,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1404.8523706736937,1389.0
926,1602,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1402.7935600998076,1394.0
927,1602,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1398.3484999026539,1400.0
928,1602,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1393.2633355261196,1405.0
929,1602,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1387.4239639598816,1408.0
930,1602,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1382.482521163948,1408.0
931,1602,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1377.8694549465451,1408.0
932,1602,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1374.3972117692483,1410.0
933,1602,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1372.5346647033093,1410.0
934,1602,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1371.3365795124093,1410.0
935,1602,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1370.4923880485776,1410.0
996,1603,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1320.9132193130401,1301.0
997,1603,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1324.816300234071,1305.0
998,1603,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1326.0061554016843,1314.0
999,1603,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1325.1788823967809,1319.0
1000,1603,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1325.8097658184136,1320.0
1001,1603,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1326.3960514948158,1325.0
1002,1603,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1327.46007570572,1330.0
1003,1603,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1328.2413185436249,1336.0
1004,1603,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1328.3127308560324,1340.0
1005,1603,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1327.9950315969122,1352.0
1006,1603,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1327.6470442512648,1335.0
1007,1603,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1327.4434416002644,1330.0
1068,1604,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1358.206794756361,1344.0
1069,1604,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1360.703723485763,1347.0
1070,1604,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1359.5619525874745,1351.9999999999998
1071,1604,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1358.5638412230394,1354.0
1072,1604,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1355.9600024313515,1359.0
1073,1604,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1352.2175892767195,1364.0
1074,1604,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1348.8264144144955,1367.0
1075,1604,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1347.2407450966195,1373.0
1076,1604,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1346.9979625943865,1378.0
1077,1604,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1346.8945598943676,1385.0
1078,1604,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1346.3498643525147,1387.9999999999998
1079,1604,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1346.0979866747412,1378.9999999999998
1140,1605,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1311.744328848083,1299.0
1141,1605,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1308.8193377838418,1299.0
1142,1605,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1307.417313354841,1305.0
1143,1605,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1308.1435050599691,1311.0
1144,1605,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1310.294458475431,1318.0
1145,1605,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1311.1294738026063,1327.0
1146,1605,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1310.631326820464,1336.0
1147,1605,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1309.2171665036935,1345.0000000000002
1148,1605,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1308.7241696578092,1354.0
1149,1605,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1309.0031881136726,1350.0
1150,1605,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1309.4905932514196,1350.0
1151,1605,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1309.8947771196024,1347.0
1212,1610,2019,1,2019-01-01,Worcester,MA,Worcester,Worcester County,2019-01,1342.989651998794,1320.0
1213,1610,2019,2,2019-02-01,Worcester,MA,Worcester,Worcester County,2019-02,1343.7736251896645,1318.0
1214,1610,2019,3,2019-03-01,Worcester,MA,Worcester,Worcester County,2019-03,1343.3977147569708,1318.0
1215,1610,2019,4,2019-04-01,Worcester,MA,Worcester,Worcester County,2019-04,1341.8980118356794,1320.0
1216,1610,2019,5,2019-05-01,Worcester,MA,Worcester,Worcester County,2019-05,1337.3724206386837,1326.0
1217,1610,2019,6,2019-06-01,Worcester,MA,Worcester,Worcester County,2019-06,1333.3806220964925,1335.0
1218,1610,2019,7,2019-07-01,Worcester,MA,Worcester,Worcester County,2019-07,1327.4744148699974,1344.0
1219,1610,2019,8,2019-08-01,Worcester,MA,Worcester,Worcester County,2019-08,1321.254129317213,1348.0
1220,1610,2019,9,2019-09-01,Worcester,MA,Worcester,Worcester County,2019-09,1315.4858332446665,1351.0
1221,1610,2019,10,2019-10-01,Worcester,MA,Worcester,Worcester County,2019-10,1311.0351685652006,1333.0
1222,1610,2019,11,2019-11-01,Worcester,MA,Worcester,Worcester County,2019-11,1307.6686863527489,1342.0
1223,1610,2019,12,2019-12-01,Worcester,MA,Worcester,Worcester County,2019-12,1304.4643807851642,1342.0
1284,1702,2019,1,2019-01-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-01,2266.0289278640366,2277.0
1285,1702,2019,2,2019-02-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-02,2265.531334532698,2294.0
1286,1702,2019,3,2019-03-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-03,2269.341220962074,2293.0
1287,1702,2019,4,2019-04-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-04,2273.858984208943,2298.0
1288,1702,2019,5,2019-05-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-05,2279.1124576752377,2313.0
1289,1702,2019,6,2019-06-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-06,2286.254788657815,2342.0
1290,1702,2019,7,2019-07-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-07,2293.56741615119,2388.0
1291,1702,2019,8,2019-08-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-08,2301.409078924093,2421.0
1292,1702,2019,9,2019-09-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-09,2308.5984864326865,2427.0
1293,1702,2019,10,2019-10-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-10,2311.2337280518923,2383.0
1294,1702,2019,11,2019-11-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-11,2316.037835507551,2411.0
1295,1702,2019,12,2019-12-01,Framingham,MA,Boston-Cambridge-Newton,Middlesex County,2019-12,2318.4386770612077,2342.0
1356,1752,2019,1,2019-01-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-01,2070.7336295070672,2028.5
1357,1752,2019,2,2019-02-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-02,2077.9009727749144,1990.0
1358,1752,2019,3,2019-03-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-03,2082.3158735400593,2018.0
1359,1752,2019,4,2019-04-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-04,2086.5184989905238,2056.0
1360,1752,2019,5,2019-05-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-05,2092.1387179567664,2097.0
1361,1752,2019,6,2019-06-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-06,2094.1343789902344,2141.0
1362,1752,2019,7,2019-07-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-07,2095.3900404159926,2172.0
1363,1752,2019,8,2019-08-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-08,2095.568835666089,2201.0
1364,1752,2019,9,2019-09-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-09,2095.134306225261,2222.0
1365,1752,2019,10,2019-10-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-10,2095.4231935649555,2214.0
1366,1752,2019,11,2019-11-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-11,2095.841467629818,2173.0
1367,1752,2019,12,2019-12-01,Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,2019-12,2097.5285080401372,2147.0
1428,1757,2019,1,2019-01-01,Milford,MA,Worcester,Worcester County,2019-01,1463.3101902290741,1442.0
1429,1757,2019,2,2019-02-01,Milford,MA,Worcester,Worcester County,2019-02,1471.7543522313842,1453.0
1430,1757,2019,3,2019-03-01,Milford,MA,Worcester,Worcester County,2019-03,1477.0708227103976,1483.0
1431,1757,2019,4,2019-04-01,Milford,MA,Worcester,Worcester County,2019-04,1479.408849052489,1506.0
1432,1757,2019,5,2019-05-01,Milford,MA,Worcester,Worcester County,2019-05,1481.9083961806714,1519.0
1433,1757,2019,6,2019-06-01,Milford,MA,Worcester,Worcester County,2019-06,1482.0370066291061,1527.0
1434,1757,2019,7,2019-07-01,Milford,MA,Worcester,Worcester County,2019-07,1482.2415590044702,1525.0
1435,1757,2019,8,2019-08-01,Milford,MA,Worcester,Worcester County,2019-08,1482.8933909454445,1525.0
1436,1757,2019,9,2019-09-01,Milford,MA,Worcester,Worcester County,2019-09,1484.616877346204,1517.0
1437,1757,2019,10,2019-10-01,Milford,MA,Worcester,Worcester County,2019-10,1486.3859395664324,1481.0000000000002
1438,1757,2019,11,2019-11-01,Milford,MA,Worcester,Worcester County,2019-11,1486.1710279717506,1445.0
1439,1757,2019,12,2019-12-01,Milford,MA,Worcester,Worcester County,2019-12,1484.9999423602321,1478.0
1500,1760,2019,1,2019-01-01,Natick,MA,Boston-Cambridge-Newton,Middlesex County,2019-01,2305.881224061242,2255.0
1501,1760,2019,2,2019-02-01,Natick,MA,Boston-Cambridge-Newton,Middlesex County,2019-02,2316.4824565436293,2215.0
1502,1760,2019,3,2019-03-01,Natick,MA,Boston-Cambridge-Newton,Middlesex County,2019-03,2323.2695481535347,2237.0
1503,1760,2019,4,2019-04-01,Natick,MA,Boston-Cambridge-Newton,Middlesex County,2019-04,2327.743366902292,2269.0
1504,1760,2019,5,2019-05-01,Natick,MA,Boston-Cambridge-Newton,Middlesex County,2019-05,2330.236258966485,2312.0
