zip,RMSE_train,RMSE_pure,forecast
1013,7.515019546083644,27.838496869092708,"[1120.54203066 1116.92613329 1115.11485363 1117.644566   1119.85875466
 1121.2366457  1121.97696363 1122.10046389 1121.57830508 1120.40867255
 1118.61961252 1116.27422965]"
1020,7.1054285720245485,32.22528764048468,"[1135.56777583 1132.99069417 1132.08661369 1137.58263852 1142.12840875
 1145.86904231 1148.91930432 1150.9617027  1152.19086538 1152.94952804
 1153.28064226 1153.22658544]"
1040,6.106689545299262,38.87739471523239,"[1112.01649982 1109.80385045 1105.89061437 1096.29081585 1099.918066
 1101.37224712 1099.9643506  1097.80788844 1096.06887423 1093.66707792
 1089.55659292 1084.08120369]"
1085,7.395466081345561,59.979955512908184,"[1150.42202937 1146.26603922 1143.35123103 1140.11723246 1137.7357491
 1136.2533835  1135.18384132 1131.44401874 1127.17293928 1122.7035848
 1117.93470065 1113.84964213]"
1104,7.605918385745576,56.63165088449907,"[1118.88408753 1116.628067   1111.67349926 1101.95072994 1100.91654128
 1099.60584622 1098.02944803 1096.24262123 1094.31364663 1092.30818367
 1090.53665399 1089.00742814]"
1108,8.768998471841494,52.81279087235599,"[1173.67308245 1172.84907631 1172.84227825 1170.6492115  1168.30230507
 1165.58471662 1162.52854542 1159.22949025 1155.87429022 1152.58161688
 1149.35584345 1146.16582076]"
1109,8.561352199967255,40.05937319832037,"[1162.95602246 1165.28086757 1166.25711654 1165.99400136 1165.68759348
 1165.04830237 1164.1193878  1162.33079965 1159.85631427 1157.20587523
 1154.39177967 1151.42163135]"
1420,10.204567353995158,58.35338373135536,"[1240.91474435 1244.05390994 1247.64733744 1248.01461255 1248.30798408
 1248.31881481 1249.03190661 1249.21510546 1248.06596786 1246.59638776
 1244.67442957 1241.24854107]"
1440,7.671792030248975,119.41190902214683,"[1176.04951109 1176.39605052 1175.45390097 1168.80134342 1158.9562433
 1142.71390871 1117.74898182 1091.54803112 1074.40107213 1062.54846955
 1052.86302183 1044.6590617 ]"
1453,9.51411592045738,61.171141788061405,"[1333.61567942 1335.53708639 1335.06450682 1325.61881645 1312.64373471
 1297.01323471 1282.00116332 1267.43385095 1253.22490501 1240.68052984
 1230.67182554 1222.27919803]"
1545,9.798573933259211,80.5745332243747,"[1508.22149662 1508.43998369 1508.78613475 1509.89054002 1510.52989083
 1510.73513636 1510.51033242 1509.83166477 1508.65512416 1506.93981641
 1501.77927916 1494.02579011]"
1550,7.964035652797103,39.307769741377335,"[1243.03460919 1246.01382212 1247.97790915 1244.52579969 1238.86613148
 1230.84459794 1221.36655062 1210.82155928 1199.01902819 1186.32050606
 1172.93644112 1158.25145728]"
1602,8.816807497416132,28.11161690812474,"[1397.57492961 1400.60554436 1403.85564894 1401.13091583 1398.02593987
 1394.43070593 1390.04361601 1384.83292958 1378.73192431 1371.4037702
 1362.38866924 1351.97787841]"
1603,10.631434634882995,30.86438969728541,"[1293.62280848 1294.83974034 1297.3579955  1298.74617388 1299.6299949
 1300.06127685 1300.07875007 1299.70580151 1298.95791963 1297.85872157
 1296.4582634  1294.84497068]"
1604,9.055654044011717,56.77931899589906,"[1351.84553048 1354.47294181 1356.01344482 1353.49480353 1349.34048004
 1343.00480416 1334.00451046 1322.43359926 1309.29476913 1296.13139176
 1284.18776098 1274.22335385]"
1605,9.540271199189368,35.811571719600956,"[1324.21264945 1321.27468081 1317.4436194  1316.23920774 1314.81685936
 1313.17727097 1311.32960566 1308.90815969 1303.98092557 1298.78013933
 1292.83701604 1287.25007293]"
1610,11.236992706292837,44.79303977889356,"[1324.27832661 1325.55880656 1325.77255995 1324.50479294 1321.81178845
 1317.13198221 1309.88322946 1299.95014706 1288.05902326 1275.64635975
 1265.60751852 1258.18780481]"
1702,12.647438430918868,157.7324027637495,"[2264.3784165  2256.62961384 2249.84751746 2238.74053468 2227.11036314
 2215.53325865 2204.64553183 2194.9991895  2186.89488289 2180.34261481
 2175.15597935 2171.07463435]"
1752,13.422390656515296,139.57779380861226,"[2074.93568458 2072.97471176 2070.87434471 2070.88124184 2069.19450194
 2064.57708652 2049.6655024  2022.05439009 2005.22430412 1989.88169652
 1977.14324784 1966.60085552]"
1757,7.568937849326436,47.051729508302316,"[1456.84575122 1460.16968072 1461.80539307 1461.11742895 1460.12633632
 1458.83214259 1457.1914775  1455.18161924 1452.84082784 1450.2252477
 1447.16499191 1443.68984431]"
1760,11.179161334253369,117.78655642627713,"[2278.08568791 2274.55118318 2272.54648954 2274.48235274 2276.90527403
 2280.03135821 2284.11612669 2289.36453764 2295.42811486 2299.08650797
 2302.47603873 2305.21437184]"
1801,10.084603731857397,119.1778591756596,"[2256.65607742 2242.44666456 2231.69555605 2229.07109852 2221.23551652
 2193.22287078 2177.31705995 2168.53133473 2161.39199429 2154.47071796
 2148.50138274 2144.13252904]"
1830,9.888915185519165,26.646486876457928,"[1633.0337727  1636.21210003 1638.30510528 1635.47953073 1630.00901211
 1623.59130071 1616.77828126 1611.91701969 1609.63205866 1607.69447066
 1606.40749345 1605.59675608]"
1832,10.205858134861861,56.249145909577365,"[1574.51228193 1577.46420712 1579.67697662 1571.01204    1561.55064853
 1552.38131927 1542.95851012 1535.96400079 1532.56956602 1530.89365765
 1530.60004329 1531.24653169]"
1841,7.9058304057055215,85.62289180987624,"[1555.99998001 1551.62318033 1551.21859165 1550.20400275 1549.38116187
 1548.91429108 1548.82348665 1549.58319757 1551.21318077 1552.78916864
 1553.84011628 1554.97788361]"
1843,8.336242088103422,39.54744901006594,"[1682.51258387 1678.97430818 1674.76835946 1673.41281366 1672.78692881
 1671.25749391 1668.37251469 1665.12761444 1661.2121645  1656.96091411
 1653.26329537 1649.97523371]"
1844,9.5474579473587,60.468734339734006,"[1669.58896368 1663.55904822 1658.19213939 1655.53944313 1652.96891763
 1652.22136591 1652.02604628 1650.6874476  1648.70198903 1647.23673593
 1646.28691075 1645.7775989 ]"
1845,9.697755038381459,69.89243190617213,"[1807.34668103 1807.15505889 1806.44591979 1800.88212875 1795.64242664
 1790.96031387 1784.89725985 1779.88038845 1776.21762849 1773.68884554
 1772.08359822 1771.2439269 ]"
1850,10.586589545659365,108.50804495878045,"[1983.76473545 1978.89141818 1974.6041392  1971.5381115  1968.52755877
 1964.42967556 1960.83955089 1957.95647266 1955.92019246 1954.76496109
 1954.40085616 1954.6343167 ]"
1851,10.234334166943187,102.79714813094503,"[1989.34002931 1981.33099801 1974.30663052 1971.51770621 1968.56006695
 1966.38771048 1962.69662696 1958.09791748 1950.74622274 1937.91703861
 1930.71552894 1927.4407276 ]"
1852,12.293789657552129,66.81660138068213,"[2000.01115183 2002.36096833 2004.11816605 2002.40674574 2000.2208683
 1997.56593576 1994.46570376 1990.96231645 1986.65914914 1981.8740176
 1976.78825901 1971.72427284]"
1854,14.977470289922152,157.16322372630597,"[2015.86547187 2016.24458747 2016.10444163 2008.67709925 2000.34119313
 1989.58857172 1977.68540336 1965.87528532 1954.69116309 1944.54012651
 1935.64773799 1924.02546922]"
1876,13.082529916005202,83.22002593622604,"[2186.661115   2178.20108029 2169.71864258 2158.9735215  2147.92486723
 2136.41830008 2124.65474357 2113.07548315 2103.38866866 2095.23339551
 2087.27490811 2079.30269693]"
1880,13.929820874278688,88.4940760680046,"[2216.46811429 2211.43446995 2206.65139224 2198.59722349 2191.0432108
 2184.00658921 2177.4228108  2171.21773347 2165.34006892 2159.76106707
 2154.460818   2149.41748346]"
1902,10.817867813467075,87.34577959448833,"[1751.18171341 1754.42088802 1756.97751785 1756.53042052 1755.73243683
 1754.6288217  1753.2564764  1751.67127809 1749.95469236 1748.19352186
 1746.45284631 1744.76635207]"
1905,10.253363383355074,95.18976688558712,"[1757.31092168 1759.86545494 1759.59433307 1752.33155707 1744.72705405
 1737.53415057 1732.63783901 1728.66982003 1724.74652144 1720.89389782
 1717.13706847 1712.78655238]"
1915,12.404406336244282,125.46971918019825,"[1815.40068487 1812.85830101 1807.59302068 1798.94968823 1790.2559743
 1786.24219644 1784.64812052 1782.80453048 1780.75686064 1778.57998661
 1776.36905248 1774.21420347]"
1930,8.758833180807512,49.750176258547704,"[1784.66720903 1783.25989647 1781.80641983 1782.75380138 1783.54708308
 1783.82926796 1782.16311034 1773.67532591 1762.6306556  1751.24289578
 1742.04434887 1735.3243477 ]"
1960,9.324244326095732,88.71603551864483,"[1794.92862969 1792.97311576 1790.38421153 1788.32090817 1785.61861633
 1782.44209635 1778.96764152 1775.35758864 1771.74094049 1768.19492239
 1764.7412806  1761.93931949]"
1970,12.122977330488036,107.37107081611389,"[1822.47549017 1819.05654917 1816.54152376 1813.7516814  1811.48081138
 1808.26298803 1804.17047974 1799.44896782 1791.32340365 1782.62734948
 1774.97632272 1768.63728423]"
2026,13.708594963034837,64.95568993021016,"[2254.89569195 2242.60613308 2232.59777293 2230.19850761 2227.77752398
 2224.97298145 2221.18971439 2215.68512743 2208.20988425 2199.93722088
 2192.24315917 2190.18950029]"
2062,16.942699922301458,57.89577102538025,"[2209.1020895  2207.64496692 2208.05529301 2207.60510708 2205.56165242
 2205.99552716 2208.19189344 2210.25361223 2212.99044713 2218.44833573
 2223.50367956 2228.3760313 ]"
2072,14.959124110997621,112.94169781616377,"[1946.84393001 1926.14889258 1908.0646121  1898.14908793 1889.25428207
 1881.66329434 1881.81691481 1884.00726684 1885.84934111 1885.70231639
 1879.86233386 1873.83962347]"
2111,10.476765844319223,146.63864729475756,"[2823.69970667 2831.95560009 2838.24594436 2834.63049409 2830.80217863
 2825.54588382 2819.14089217 2812.19000619 2805.46247069 2799.22945993
 2794.05346597 2790.0405059 ]"
2113,7.478271049287141,119.59594611417859,"[2586.39659719 2578.29984784 2572.43801086 2577.32249085 2582.77155541
 2588.83218348 2595.58410505 2603.08552704 2613.0051199  2623.14398148
 2630.00591198 2635.27980544]"
2114,5.570850002328058,63.960917072379765,"[2808.29410146 2811.47387517 2812.89756681 2811.24913198 2809.23032574
 2806.88946823 2804.2860046  2801.49149952 2798.58273349 2795.64994349
 2793.29923102 2790.95470875]"
2115,6.84924555937151,138.05746458009483,"[2891.02234091 2899.39081986 2902.45527909 2899.3736619  2899.17091783
 2898.66558068 2898.01997716 2897.35511774 2896.76101517 2896.20278179
 2895.36815478 2894.61725062]"
2116,7.713107401575369,102.82437454797493,"[2812.50558893 2823.45268221 2830.28191552 2820.20395783 2814.72995307
 2808.88169803 2802.15177371 2793.96890773 2784.43463985 2774.71745615
 2766.17209233 2758.94755982]"
2118,8.154593605040292,97.08114979141054,"[2933.97304364 2933.05165095 2931.66264037 2931.56902547 2930.14548486
 2929.4085613  2930.09657331 2934.25606479 2958.2924436  3013.48750965
 3050.78497868 3063.0180507 ]"
2119,14.64118431758723,147.1860916508366,"[2773.61627264 2772.57079827 2777.88803903 2807.84469906 2821.04246258
 2831.79883872 2839.76827184 2845.27789853 2848.96494571 2851.48796099
 2852.98133117 2854.03194003]"
2120,13.296693336494064,216.87877056554208,"[3068.36963904 3060.45138623 3059.98138548 3067.7689074  3067.14545774
 3074.62471948 3083.27077886 3097.00457433 3111.50442749 3127.53443043
 3145.98787309 3166.50925301]"
2121,14.236883875573234,277.9408931572958,"[2363.3804144  2350.02568016 2339.06659791 2335.8214046  2332.4486315
 2328.14121092 2322.36295484 2311.95037014 2307.21409248 2305.47581476
 2304.16444344 2303.5176897 ]"
2122,14.016968099905508,165.7132039041449,"[2386.75352433 2374.50093632 2366.49423775 2375.7557518  2377.8915084
 2381.36264475 2386.33050258 2392.54206904 2398.09731995 2399.36175487
 2396.29639162 2393.49747623]"
2124,14.50455839653505,159.75539419958582,"[2293.00757819 2281.29658526 2269.91359211 2283.3650666  2285.63918425
 2287.78179165 2289.83897595 2291.86559508 2293.92250989 2296.07316427
 2295.75786682 2294.50625843]"
2125,14.281909094141783,217.630409848767,"[2478.57091534 2472.51269599 2467.66540951 2463.39319743 2459.31799667
 2455.3590562  2451.48626022 2447.67891704 2443.50871638 2439.43762588
 2435.4931779  2431.70106134]"
2126,17.545626297836492,243.44124685867675,"[2249.54334809 2231.4965779  2229.39113379 2223.77731991 2223.4466825
 2227.43799894 2232.20785164 2236.8389121  2242.57650027 2249.01141275
 2255.02967102 2260.46932117]"
2127,14.102867565389612,160.87735068993368,"[2842.81862344 2838.84760788 2835.18771983 2834.20129289 2831.61478894
 2828.87035719 2825.97291134 2822.95805589 2819.9325368  2817.12987807
 2814.94826053 2813.9050401 ]"
2128,16.247752190585363,130.7638665761588,"[2469.28169644 2468.75406015 2474.32046627 2488.33660994 2500.23360466
 2511.5667549  2521.81490814 2529.31030788 2531.89059886 2532.4867589
 2531.04246029 2527.40644505]"
2129,10.508812842560122,141.03146671101305,"[2792.00815554 2791.48036863 2791.75361236 2787.76388414 2784.96456746
 2781.65481199 2777.54940393 2772.75707332 2767.53763868 2762.21905071
 2758.37542022 2761.85680688]"
2130,13.412480549199755,176.51223525086837,"[2638.57085994 2638.57085994 2638.57085994 2638.57085994 2639.9789079
 2642.40735214 2645.91162785 2652.88456402 2666.89007635 2682.17291631
 2694.72752934 2703.37118578]"
2131,16.567036682916417,191.3272915678919,"[2384.31680812 2389.75909426 2398.20308018 2419.13030413 2419.38151259
 2419.28407948 2419.00247563 2418.70912088 2416.86239752 2413.79640665
 2411.14648976 2408.86797885]"
2132,18.29667930626601,327.46084887433165,"[2344.18243598 2323.90724048 2306.71666144 2297.68515522 2295.28592311
 2293.11871612 2291.38010224 2290.20888926 2289.67143359 2289.76672638
 2290.44442907 2291.6259735 ]"
2134,10.225698374524077,72.52125978576439,"[2555.56735759 2543.97633258 2540.27482258 2548.97002416 2552.16122513
 2555.57541447 2559.28721473 2563.34648168 2567.77799023 2572.5844401
 2577.75382006 2583.26966243]"
2135,11.969777236800697,134.90960308951335,"[2708.15726964 2701.62408302 2698.34240125 2702.52741113 2709.42084331
 2714.96890505 2719.33710558 2722.70674168 2725.25392443 2727.14403047
 2728.52850742 2729.5423246 ]"
2136,16.771964362652778,355.39892918949243,"[2320.40360399 2304.91408321 2291.09761278 2277.69116453 2265.0037809
 2254.22076609 2246.21260265 2241.37652958 2239.82362353 2241.3141604
 2245.29129075 2251.0259857 ]"
2138,10.509947198596508,151.04919365493342,"[2562.10462592 2548.53852828 2539.35469698 2531.79083752 2523.93293351
 2514.76158207 2506.2312106  2498.35811209 2491.20417635 2484.87141357
 2478.03503772 2470.63157132]"
2139,9.047894540153147,110.00595119954461,"[2634.05267569 2631.92781251 2630.65626399 2635.77097594 2640.7352264
 2648.46170413 2657.31808769 2661.603478   2662.60638181 2661.90690105
 2660.17562845 2657.76272844]"
