,0,1,2,3,4,5,6,7,8,9,10,11
01013,1.8183804793620406,1.2704926039610929,-1.7529027576049128,-4.571377855150986,-5.434947053176948,-9.222502008557054,-12.333684630719176,-15.384593691190048,-17.482622709472334,-23.452546968490687,-19.230074310926454,-17.41081781137337
01020,3.6938124049463275,2.7652811276807228,0.013841793785349436,-0.8406162726573521,-0.0895477751757301,-3.559842573899695,-8.471727826082725,-11.705022016410481,-14.238805842287217,-21.84734471243661,-20.20521998542621,-18.35252481442752
01040,-4.65411428294187,-9.287818955682345,-10.818363396660171,-10.348690529325728,-9.205433263149803,-11.635901697050825,-13.436376147478516,-15.81245992683822,-16.960641697459305,-21.40310380659969,-12.994471115156985,-9.09798827296077
01085,-4.19977859155792,-6.994924500949431,-8.835950545710615,-8.845414818340263,-10.042508547352408,-10.928503340771787,-10.61837528755544,-9.694649883896577,-9.365949635290228,-7.438970528556056,-9.128029661335484,-8.752906607036415
01104,0.27594048588347114,-1.034039961742732,-3.890061036903531,-5.096755327171806,-5.366070729711899,-6.834723813207133,-8.610689360556112,-9.779787600956888,-12.438156951337133,-19.57712698369076,-22.4885982332551,-23.908655885659496
01108,-4.040668150177946,-5.237818255850244,-3.9849842791730103,-3.273367301047134,-0.6657169180270811,-0.5927164317610718,0.13433735396963786,-0.9571264187808755,-5.65307165202627,-16.581558591980823,-16.660501381385917,-15.148955313535186
01109,-7.174337705531498,-8.868688016525196,-7.818994651059971,-5.810263142137097,-3.4377870420010366,-2.925613687430221,-3.294191615238125,-4.22244959126341,-7.812723974403843,-9.136550586068964,-10.44152621924624,-19.018847978213817
01420,-3.17402941483512,-5.387307051523922,-10.30569880155971,-9.883946595704577,-7.672556788596195,-7.908154190392547,-7.426128511709676,-7.377236508918619,-7.097352791927758,-3.01743255745437,3.6612303321533433,9.190803408569337
01440,-6.014783013770627,-13.919079071677961,-16.518777417404674,-14.9657334805292,-14.725120298026562,-16.86608117422671,-21.16062154020209,-23.651228798461403,-24.24863381922615,-17.11967668842715,-15.296943051508686,-15.533579716444128
01453,6.625746809988237,9.15630412047565,12.526440947948348,14.016012319289034,13.070595277824582,10.882996202357244,10.222503017485796,8.957730991143137,9.191883872529395,13.615504225686895,16.511055262238912,18.5052660793566
